Location,Country,Region/City,Disease,Species,Feed Language,HealthMap Alert ID,URL,URL,Issue Date,Alert Tag,New SC,New SD,New CC,New CD,SC,SD,CC,CD,RO,Feed Name,Report Source - Primary,Secondary Report Source
Ghana,Ghana,NA,Ebola,Humans,NA,2388577,PRO/AH/EDR> Ebola virus disease - West Africa (10),http://promedmail.org/direct.php?id=20140408.2388577,4/8/14 5:30,No Tag,NA,9,NA,NA,151,95,NA,52,NA,ProMED Mail,Gloal Post,NA
"Guinê©e Forestiêëre, Guinea",Guinea,NA,Ebola,Humans,NA,2391500,PRO/AH/EDR> Ebola virus disease - West Africa (11): Guinea,http://promedmail.org/direct.php?id=20140409.2391500,4/9/14 15:31,No Tag,NA,NA,NA,NA,157,101,NA,NA,NA,ProMED Mail,Reuters,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2393603,"PRO/AH/EDR> Ebola virus disease - West Africa (12): WHO, mapping",http://promedmail.org/direct.php?id=20140410.2393603,4/10/14 14:32,No Tag,NA,NA,NA,NA,21,10,NA,5,NA,ProMED Mail,WHO Regional Office in West Africa,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2393603,"PRO/AH/EDR> Ebola virus disease - West Africa (12): WHO, mapping",http://promedmail.org/direct.php?id=20140410.2393603,4/10/14 14:32,No Tag,NA,NA,NA,NA,151,95,34,NA,NA,ProMED Mail,WHO Regional Office in West Africa,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2393603,"PRO/AH/EDR> Ebola virus disease - West Africa (12): WHO, mapping",http://promedmail.org/direct.php?id=20140410.2393603,4/10/14 14:32,No Tag,NA,NA,NA,NA,NA,2,NA,NA,NA,ProMED Mail,WHO Regional Office in West Africa,NA
Mali,Mali,NA,Ebola,Humans,NA,2393603,"PRO/AH/EDR> Ebola virus disease - West Africa (12): WHO, mapping",http://promedmail.org/direct.php?id=20140410.2393603,4/10/14 14:32,No Tag,NA,NA,NA,NA,4,NA,NA,NA,NA,ProMED Mail,WHO Regional Office in West Africa,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2395327,"PRO/AH/EDR> Ebola virus disease - West Africa (13): WHO, Mali susp, UNICEF",http://promedmail.org/direct.php?id=20140411.2395327,4/11/14 2:32,No Tag,1,NA,NA,NA,157,101,66,24,NA,ProMED Mail,"WHO Regional Office for Africa, Epidemic & Pandemic Alert and Response (EPR)",NA
Liberia,Liberia,NA,Ebola,Humans,NA,2395327,"PRO/AH/EDR> Ebola virus disease - West Africa (13): WHO, Mali susp, UNICEF",http://promedmail.org/direct.php?id=20140411.2395327,4/11/14 2:32,No Tag,NA,NA,NA,NA,20,12,5,NA,NA,ProMED Mail,"WHO Regional Office for Africa, Epidemic & Pandemic Alert and Response (EPR)",NA
Morocco,Morocco,NA,Ebola,Humans,NA,2396631,"PRO/AH/EDR> Ebola virus disease - West Africa (14): Morocco susp, virus stability",http://promedmail.org/direct.php?id=20140411.2396631,4/11/14 14:48,No Tag,2,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,Turner Radio Network,NA
Morocco,Morocco,NA,Ebola,Humans,NA,2399043,"PRO/AH/EDR> Ebola virus disease - West Africa (15): Morocco, Ghana, Portugal all NOT",http://promedmail.org/direct.php?id=20140412.2399043,4/12/14 5:15,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,The Moroccan Times,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2400734,"PRO/AH/EDR> Ebola virus disease - West Africa (16): Sierra Leone & Mali NOT, economy",http://promedmail.org/direct.php?id=20140413.2400734,4/13/14 9:54,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,Euronews,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2404280,"PRO/AH/EDR> Ebola virus disease - West Africa (17): Liberia, Sierra Leone, WHO, MSF, EU",http://promedmail.org/direct.php?id=20140414.2404280,4/14/14 17:11,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,Richard Nisbett,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2404280,"PRO/AH/EDR> Ebola virus disease - West Africa (17): Liberia, Sierra Leone, WHO, MSF, EU",http://promedmail.org/direct.php?id=20140414.2404280,4/14/14 17:11,No Tag,11,NA,NA,NA,168,108,71,42,NA,ProMED Mail,WHO/AFRO,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2407657,"PRO/AH/EDR> Ebola virus disease - West Africa (18): survivors, more cases",http://promedmail.org/direct.php?id=20140416.2407657,4/16/14 11:28,No Tag,NA,NA,NA,NA,26,13,NA,NA,NA,ProMED Mail,Cidrap News,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2407657,"PRO/AH/EDR> Ebola virus disease - West Africa (18): survivors, more cases",http://promedmail.org/direct.php?id=20140416.2407657,4/16/14 11:28,No Tag,NA,10,NA,7,168,108,NA,NA,NA,ProMED Mail,Cidrap News,NA
Mali,Mali,NA,Ebola,Humans,NA,2409996,"PRO/AH/EDR> Ebola virus disease - West Africa (19): new strain, Guinea new cases, Mali NOT",http://promedmail.org/direct.php?id=20140417.2409996,4/17/14 1:27,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,"CTV News, Canada",NA
Guinea,Guinea,NA,Ebola,Humans,NA,2409996,"PRO/AH/EDR> Ebola virus disease - West Africa (19): new strain, Guinea new cases, Mali NOT",http://promedmail.org/direct.php?id=20140417.2409996,4/17/14 1:27,No Tag,11,3,10,NA,111,71,NA,NA,NA,ProMED Mail,Guinea News,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2412005,"PRO/AH/EDR> Ebola virus disease - West Africa (20): WHO update, UNICEF",http://promedmail.org/direct.php?id=20140417.2412005,4/17/14 17:8,No Tag,NA,NA,NA,NA,197,122,101,56,NA,ProMED Mail,WHO Regional Office for Africa,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2412005,"PRO/AH/EDR> Ebola virus disease - West Africa (20): WHO update, UNICEF",http://promedmail.org/direct.php?id=20140417.2412005,4/17/14 17:8,No Tag,1,NA,NA,NA,27,13,NA,NA,NA,ProMED Mail,WHO Regional Office for Africa,NA
Sierra Leone,Sierra Leone,NA,Ebola,Humans,NA,2412005,"PRO/AH/EDR> Ebola virus disease - West Africa (20): WHO update, UNICEF",http://promedmail.org/direct.php?id=20140417.2412005,4/17/14 17:8,No Tag,NA,NA,12,NA,NA,NA,NA,NA,NA,ProMED Mail,WHO Regional Office for Africa,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2414770,PRO/AH> Ebola virus disease - West Africa (21): ECDC travel advice,http://promedmail.org/direct.php?id=20140419.2414770,4/19/14 3:17,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,ECDC,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2416170,"PRO/AH/EDR> Ebola virus disease - West Africa (22): WHO, control",http://promedmail.org/direct.php?id=20140419.2416170,4/19/14 23:36,No Tag,NA,NA,NA,NA,203,129,109,61,NA,ProMED Mail,WHO Global Alert and Response,NA
Cote d'Ivoire,Cote d'Ivoire,NA,Ebola,Humans,NA,2419488,"PRO/AH> Ebola virus disease - West Africa (23): Cote d'Ivoire, bushmeat ban",http://promedmail.org/direct.php?id=20140421.2419488,4/21/14 20:58,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,NA,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2421188,"PRO/AH/EDR> Ebola virus disease - West Africa (24): Liberia, Zambia airport screening",http://promedmail.org/direct.php?id=20140422.2421188,4/22/14 18:27,No Tag,NA,NA,NA,NA,27,13,6,NA,NA,ProMED Mail,UN Office for the Coordination of Humanitarian Affairs,NA
Zambia,Zambia,NA,Ebola,Humans,NA,2421188,"PRO/AH/EDR> Ebola virus disease - West Africa (24): Liberia, Zambia airport screening",http://promedmail.org/direct.php?id=20140422.2421188,4/22/14 18:27,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,Zambia Daily Mail,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2424015,"PRO/AH/EDR> Ebola virus disease - West Africa (25): WHO, MSF",http://promedmail.org/direct.php?id=20140423.2424015,4/23/14 20:40,No Tag,NA,NA,NA,NA,208,136,169,112,NA,ProMED Mail,WHO Regional Office for Africa,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2424015,"PRO/AH/EDR> Ebola virus disease - West Africa (25): WHO, MSF",http://promedmail.org/direct.php?id=20140423.2424015,4/23/14 20:40,No Tag,NA,NA,1,NA,34,6,6,NA,NA,ProMED Mail,WHO Regional Office for Africa,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2427963,"PRO/AH/EDR> Ebola virus disease - West Africa (26): WHO, MSF",http://promedmail.org/direct.php?id=20140424.2427963,4/24/14 22:28,No Tag,NA,NA,NA,NA,NA,NA,NA,NA,NA,ProMED Mail,WHO Features,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2430639,PRO/AH/EDR> Ebola virus disease - West Africa (27): WHO update,http://promedmail.org/direct.php?id=20140425.2430639,4/25/14 21:33,No Tag,NA,NA,NA,NA,218,141,115,72,NA,ProMED Mail,WHO Regional Office for Africa,NA
Liberia,Liberia,NA,Ebola,Humans,NA,2430639,PRO/AH/EDR> Ebola virus disease - West Africa (27): WHO update,http://promedmail.org/direct.php?id=20140425.2430639,4/25/14 21:33,No Tag,NA,NA,1,NA,35,6,6,NA,NA,ProMED Mail,WHO Regional Office for Africa,NA
Guinea,Guinea,NA,Ebola,Humans,NA,2432190,PRO/AH/EDR> Ebola virus disease - West Africa (28): CIDRAP,http://promedmail.org/direct.php?id=20140427.2432190,4/27/14 13:7,No Tag,NA,5,3,NA,218,141,115,NA,NA,ProMED Mail,CIDRAP News Scan,NA
